plane_height_msl,area_water_m2,area_terrain_m2,volume_m3
490.17,314531.71502735,319294.31954572,1819130.2569063
490.16,314312.10060568,319063.78908186,1815986.1206992
490.15,314095.25944717,318836.01442861,1812844.0720364
490.14,313880.61339124,318610.42469149,1809704.1751996
490.13,313668.0156488,318386.87567054,1806566.4209615
490.12,313457.41778586,318165.32633923,1803430.7613921
490.11,313248.70322903,317945.66634891,1800297.2455359
490.1,313041.85312045,317727.87793556,1797165.7765731
490.09,312836.80828557,317511.9062147,1794036.4193347
490.08,312633.50058754,317297.68851079,1790909.1200431
490.07,312431.91614938,317085.21598029,1787783.8828943
490.06,312232.01997993,316874.45766737,1784660.6460547
490.05,312033.48620616,316665.09337486,1781539.4187106
490.04,311835.94864282,316456.77004738,1778420.125093
490.03,311638.6094708,316248.70847768,1775302.8732426
490.02,311439.00234005,316038.46935096,1772187.5765015
490.01,311228.82997708,315817.80603292,1769074.3531836
490,310873.10328699,315451.85337181,1765963.5882999
489.99,309723.08514618,314291.96234978,1762865.1589163
489.98,309549.18200855,314108.16425154,1759768.736251
489.97,309379.56946448,313928.66438471,1756674.0791536
489.96,309211.16978162,313750.39529144,1753581.1481608
489.95,309043.52449501,313572.90000556,1750489.8990714
489.94,308876.43339088,313395.97776987,1747400.294549
489.93,308709.80517185,313219.53859353,1744312.3770924
489.92,308543.73717881,313043.6762796,1741226.0555606
489.91,308378.16819031,312868.33197205,1738141.5165157
489.9,308212.99207225,312693.40051918,1735058.5729155
489.89,308048.30701076,312518.98199812,1731977.261997
489.88,307884.01495713,312344.98163952,1728897.6614809
489.87,307720.13189097,312171.41862011,1725819.6938243
489.86,307556.42993468,311998.07104699,1722743.3880805
489.85,307392.93448221,311824.96909297,1719668.7023854
489.84,307229.23397306,311651.71286929,1716595.6600503
489.83,307064.80832528,311477.79807628,1713524.2337415
489.82,306897.98371018,311301.56955261,1710454.4363394
489.81,306724.20454714,311118.50277486,1707386.3914466
489.8,306471.52273604,310856.71609545,1704320.2680113
489.79,305320.35851224,309696.64513575,1701265.987282
489.78,305156.8534169,309524.2350132,1698213.642694
489.77,304996.5893223,309355.08648108,1695162.8519716
489.76,304837.6529778,309187.29194685,1692113.6615758
489.75,304679.54193439,309020.34433858,1689066.0691296
489.74,304522.16932417,308854.15246899,1686020.0677448
489.73,304365.68827535,308688.86637589,1682975.6527669
489.72,304209.99183713,308524.37919996,1679932.8392743
489.71,304055.10530311,308360.71577983,1676891.4600323
489.7,303901.08838575,308197.93688568,1673851.7406958
489.69,303747.80780521,308035.91147454,1670813.4823932
489.68,303595.38937187,307874.76419277,1667776.8298905
489.67,303443.85399184,307714.51893955,1664741.6725651
489.66,303293.11472789,307555.09228684,1661708.016796
489.65,303142.78687539,307396.10862457,1658675.7961476
489.64,302992.54288941,307237.25027043,1655645.1614623
489.63,302841.51787648,307077.67048739,1652616.006085
489.62,302687.78228301,306915.46560123,1649588.4715397
489.61,302526.71820381,306746.05008754,1646562.4785364
489.6,301739.89109286,305951.06049556,1643538.2164868
489.59,301550.28196718,305753.58527402,1640521.8742392
489.58,301394.81108972,305590.29657738,1637507.2197422
489.57,301239.44832113,305427.14752752,1634494.0165124
489.56,301084.16214669,305264.09130291,1631482.3951738
489.55,300929.40521415,305101.57283529,1628472.3057533
489.54,300775.25974927,304939.66555141,1625463.7590197
489.53,300621.71354973,304778.34940865,1622456.7729032
489.52,300468.72284039,304617.57858126,1619451.3170382
489.51,300316.29618764,304457.35831816,1616447.3000028
489.5,300164.52862609,304297.78373955,1613444.9319479
489.49,300013.27591265,304138.71103043,1610444.0173451
489.48,299862.58622435,303980.18800424,1607444.5930315
489.47,299712.50264578,303822.25753897,1604446.7185633
489.46,299562.93609428,303664.83203245,1601450.3446649
489.45,299413.7740884,303507.80102545,1598455.4724357
489.44,299264.86806601,303351.01902334,1595462.0162962
489.43,299115.74350963,303194.01770642,1592470.1267521
489.42,298964.85865006,303035.26730682,1589479.7778058
489.41,298806.56880163,302869.14575137,1586490.9615756
489.4,298551.84888248,302606.70097838,1583503.9153777
489.39,296838.12705053,300885.36238224,1580534.3602253
489.38,296660.45488629,300699.99401317,1577566.8349081
489.37,296487.22539004,300519.01884839,1574601.0268989
489.36,296316.63673658,300340.64130464,1571636.9871561
489.35,296148.24972433,300164.43016871,1568674.6777429
489.34,295981.95013478,299990.27349201,1565714.0163253
489.33,295817.76531036,299818.19878483,1562754.9976626
489.32,295655.5027962,299648.01709244,1559797.5867667
489.31,295495.20580663,299479.77340874,1556841.7987323
489.3,295336.95740982,299313.55165211,1553887.6114459
489.29,295180.72458222,299149.32228616,1550934.9520858
489.28,295026.38830913,298986.96547051,1547983.8767253
489.27,294874.00895346,298826.54151435,1545034.3582924
489.26,294723.85654549,298668.3174471,1542086.3609643
489.25,294575.62108548,298511.98267908,1539139.8888639
489.24,294429.47474266,298357.70636182,1536194.8351116
489.23,294285.58589727,298205.65395441,1533251.2254721
489.22,294144.15364713,298056.02163506,1530308.9801436
489.21,294005.70773942,297909.33382545,1527368.2205113
489.2,293447.44491387,297342.77621005,1524428.7714925
489.19,293343.90033395,297230.86911278,1521494.7669134
489.18,293251.32336934,297129.86241822,1518561.7284057
489.17,293160.71954252,297030.77520158,1515629.6565956
489.16,293071.14192563,296932.66918183,1512698.4514313
489.15,292982.2993087,296835.25935574,1509768.1303164
489.14,292894.0072685,296738.36514723,1506838.6950446
489.13,292806.26614797,296641.98757146,1503910.1094411
489.12,292719.10653712,296546.1570819,1500982.445463
489.11,292632.50123872,296450.85027648,1498055.6269738
489.1,292546.43048821,296356.04930144,1495129.7332866
489.09,292460.80522783,296261.66761354,1492204.6968381
489.08,292375.64253938,296167.72282991,1489280.5058157
489.07,292291.02279984,296074.29375769,1486357.1560401
489.06,292206.87485342,295981.31187148,1483434.6079884
489.05,292123.19478133,295888.77402911,1480512.9900537
489.04,292039.94859638,295796.64575913,1477592.1420387
489.03,291957.11114447,295704.90226732,1474672.1813453
489.02,291874.74683422,295613.60825495,1471753.0165594
489.01,291792.88645026,295522.79397993,1468834.6627917
489,291711.39380188,295432.32366787,1465917.1830561
488.99,291629.97569636,295341.88876131,1463000.4388214
488.98,291549.89354213,295252.76104816,1460084.4867829
488.97,291470.2555432,295164.05366061,1457169.3844303
488.96,291390.88598792,295075.59178784,1454255.069173
488.95,291311.6870993,294987.27977295,1451341.5620411
488.94,291232.6801967,294899.13974443,1448428.8738585
488.93,291153.86466754,294811.16968655,1445516.8740723
488.92,291075.24987627,294723.38121756,1442605.7158015
488.91,290996.79863945,294635.73809277,1439695.2819465
488.9,290918.55314857,294548.28164847,1436785.6733049
488.89,290840.48570157,294460.98574121,1433876.8830075
488.88,290762.57673597,294373.83191176,1430968.8174983
488.87,290684.87634717,294286.87105742,1428061.5598544
488.86,290607.31934001,294200.03843181,1425155.0669105
488.85,290529.93706361,294113.36544796,1422249.3957137
488.84,290452.7388562,294026.86182989,1419344.4679611
488.83,290375.70003922,293940.50507093,1416440.2927267
488.82,290298.82125685,293854.29550007,1413536.9222839
488.81,290222.06524005,293768.19722882,1410634.2644526
488.8,290145.45393881,293682.23248227,1407732.4119656
488.79,290069.0159094,293596.43049576,1404831.3032069
488.78,289992.86630174,293510.90551795,1401930.957596
488.77,289916.86606616,293425.51935447,1399031.4112872
488.76,289840.96597849,293340.22312147,1396132.6544669
488.75,289765.19390198,293255.04366169,1393234.6316032
488.74,289689.54640972,293169.97531338,1390337.3398593
488.73,289614.0059504,293085.0031327,1387440.8647572
488.72,289538.59275021,293000.1475476,1384545.0927503
488.71,289463.33263961,292915.43540876,1381650.071854
488.7,289388.16373181,292830.80479153,1378755.8348426
488.69,289313.10567084,292746.27664514,1375862.3110327
488.68,289238.15997567,292661.8534719,1372969.6331739
488.67,289163.29959511,292577.50841442,1370077.6250882
488.66,289088.54970741,292493.26577393,1367186.3441059
488.65,289013.89596013,292409.11127955,1364295.8432313
488.64,288939.37116718,292325.07958877,1361406.0363445
488.63,288864.96946687,292241.16602167,1358517.0386471
488.62,288790.65623378,292157.33692486,1355628.7252801
488.61,288716.49204945,292073.65315603,1352741.2664208
488.6,288642.42116951,291990.06115736,1349854.472645
488.59,288568.41107268,291906.52544157,1346968.4341844
488.58,288494.530205,291823.11642315,1344083.1401392
488.57,288420.71944386,291739.77710207,1341198.5610089
488.56,288346.947931,291656.47812243,1338314.7585372
488.55,288273.2232812,291573.22638794,1335431.618141
488.54,288199.48631077,291489.9632549,1332549.2248698
488.53,288125.72253006,291406.67546215,1329667.5174679
488.52,288051.94501233,291323.37500759,1326786.6239292
488.51,287978.23913129,291240.14676709,1323906.4862627
488.5,287904.55626254,291156.94197941,1321027.0312113
488.49,287830.86405807,291073.73037372,1318148.3398661
488.48,287757.17404858,290990.52432439,1315270.4238605
488.47,287683.45844587,290907.29703535,1312393.2419617
488.46,287609.71068691,290824.04106405,1309516.8094643
488.45,287535.99554178,290740.82091079,1306641.1109468
488.44,287462.26540638,290657.58827376,1303766.0916421
488.43,287388.57911333,290574.40169438,1300891.8656057
488.42,287314.93462473,290491.25947153,1298018.3973408
488.41,287241.32668644,290408.15518938,1295145.6276492
488.4,287167.67560694,290325.01257544,1292273.5687561
488.39,287093.57679142,290241.4272993,1289402.2576916
488.38,287020.05793831,290158.42210045,1286531.7077255
488.37,286946.62747896,290075.50726003,1283661.8768058
488.36,286873.17889566,289992.57567002,1280792.7929994
488.35,286799.69033226,289909.6075058,1277924.4814027
488.34,286726.19515602,289826.63648642,1275056.8270583
488.33,286652.69483422,289743.66279599,1272189.9929578
488.32,286579.22636461,289660.72547484,1269323.8844381
488.31,286505.73053674,289577.76493122,1266458.5017737
488.3,286432.19649885,289494.77191116,1263593.7947909
488.29,286358.65906682,289411.78163484,1260729.833477
488.28,286285.1094309,289328.78613683,1257866.6622631
488.27,286211.53946767,289245.77710395,1255004.1894374
488.26,286137.91690329,289162.72229317,1252142.4398667
488.25,286064.28357239,289079.66396761,1249281.4928021
488.24,285990.62279612,288996.58771302,1246421.226797
488.23,285916.94988704,288913.50861772,1243561.7561633
488.22,285843.24276402,288830.40424598,1240702.9354506
488.21,285769.39851771,288747.1712783,1237844.9247256
488.2,285695.12168084,288663.51800535,1234987.6051076
488.19,285620.51532038,288579.54533171,1232130.9755797
488.18,285545.98593813,288495.66350186,1229275.2022776
488.17,285471.22160125,288411.56294051,1226420.1259185
488.16,285396.33741179,288327.35609073,1223565.809459
488.15,285321.30360705,288243.01438738,1220712.2717141
488.14,285246.06360086,288158.48385585,1217859.4908138
488.13,285170.67810988,288073.82574866,1215007.4152286
488.12,285095.12718348,287989.01919786,1212156.1084136
488.11,285019.42912216,287904.08000786,1209305.6026244
488.1,284943.58593495,287819.00951529,1206455.7766032
488.09,284867.56256566,287733.77355441,1203606.7585447
488.08,284791.35073667,287648.36624427,1200758.448846
488.07,284714.95540405,287562.7946923,1197910.977641
488.06,284638.35864122,287477.04308529,1195064.2566671
488.05,284561.50293567,287391.05603629,1192218.2930665
488.04,284484.40423231,287304.85041383,1189373.1169257
488.03,284406.99369314,287218.35812498,1186528.7602687
488.02,284329.14208787,287131.45482282,1183685.1329061
488.01,284250.5151762,287043.80869276,1180842.294822
488,284166.87304391,286951.18692974,1178000.212678
487.99,284054.6801257,286830.05853858,1175159.2721641
487.98,283974.51429757,286740.98239176,1172319.1797687
487.97,283894.57149218,286652.16235752,1169479.8090295
487.96,283814.62714279,286563.37124892,1166641.2531517
487.95,283734.64744923,286474.57390758,1163803.4734428
487.94,283654.60187454,286385.7395733,1160966.5046479
487.93,283574.52701317,286296.90387505,1158130.4347303
487.92,283494.43609173,286208.07821266,1155295.1114674
487.91,283414.34544936,286119.27834205,1152460.5816635
487.9,283334.18304031,286030.4326806,1149626.9079952
487.89,283254.03528895,285941.6296435,1146794.0362834
487.88,283173.84580159,285852.81177875,1143961.9491159
487.87,283093.57159223,285763.93768443,1141130.632229
487.86,283013.20280718,285675.00202014,1138300.1160036
487.85,282932.67745359,285585.94572978,1135470.3793105
487.84,282851.9946494,285496.77303171,1132641.507246
487.83,282771.03951032,285407.37234368,1129813.4074404
487.82,282689.62293737,285317.55971012,1126986.1940125
487.81,282607.34170934,285226.93882584,1124159.8143988
487.8,282520.31457022,285131.64163168,1121334.1993837
487.79,282400.30131194,285003.43891889,1118509.8169671
487.78,282312.43422357,284907.45021947,1115686.2229258
487.77,282223.37139681,284810.32650611,1112863.5476471
487.76,282133.34050084,284712.28664556,1110041.7677576
487.75,282042.57772351,284613.55947058,1107220.9348009
487.74,281951.14972117,284514.20017213,1104401.0212795
487.73,281859.10135078,284414.24946907,1101582.0139151
487.72,281766.55144019,284313.82179235,1098763.9447391
487.71,281673.45327373,284212.86945285,1095946.7679538
487.7,281579.88056522,284111.46584212,1093130.5326224
487.69,281485.85159922,284009.62838352,1090315.2170992
487.68,281391.36635134,283907.35723274,1087500.8644961
487.67,281296.32054062,283804.5485594,1084687.4314516
487.66,281200.72972792,283701.22155776,1081874.9718017
487.65,281104.51781935,283597.30396072,1079063.4864382
487.64,281007.5803082,283492.69486524,1076252.964756
487.63,280909.7697507,283387.25205888,1073443.3936258
487.62,280810.71985379,283280.61426158,1070634.8405845
487.61,280709.17996119,283171.54192549,1067827.286036
487.6,279760.95917876,282215.86260561,1065020.8161347
487.59,279614.16580547,282061.68710959,1062223.9940957
487.58,279485.83714122,281926.02922894,1059428.4840902
487.57,279356.48000342,281789.39052125,1056634.2593326
487.56,279226.67102257,281652.33980924,1053841.3136344
487.55,279096.46292444,281514.91932789,1051049.7049368
487.54,278965.98531829,281377.25682605,1048259.4063135
487.53,278835.39465851,281239.50098082,1045470.3619771
487.52,278704.81586997,281101.7703281,1042682.6765433
487.51,278574.1299498,280963.94559864,1039896.2914503
487.5,278443.46472732,280826.15081911,1037111.2349617
487.49,278312.84111415,280688.40564447,1034327.469937
487.48,278182.2119738,280550.66278846,1031545.0528818
487.47,278051.59269557,280412.93883533,1028763.8942884
487.46,277920.96010968,280275.21038318,1025984.055108
487.45,277790.35826551,280137.52254447,1023205.52247
487.44,277659.724401,279999.81034002,1020428.2497206
487.43,277529.22389896,279862.23895179,1017652.3154524
487.42,277398.57322385,279724.52696162,1014877.68373
487.41,277267.51090093,279586.40967885,1012104.4034574
487.4,277106.85961866,279418.72281258,1009332.4257887
487.39,276104.89766017,278409.70832213,1006570.4954173
487.38,275958.78921582,278256.51952969,1003810.1596158
487.37,275813.39049885,278104.02751426,1001051.2688253
487.36,275668.24539298,277951.77632185,998293.85347275
487.35,275523.10973533,277799.52692752,995537.93043858
487.34,275377.98206541,277647.27903824,992783.4636435
487.33,275232.6629736,277494.83185545,990030.41098406
487.32,275087.26310556,277342.29683722,987278.81160331
487.31,274941.65044129,277189.54804266,984528.64064152
487.3,274795.83012424,277036.59313467,981779.95087437
487.29,274649.71551733,276883.34627008,979032.74858948
487.28,274503.354041,276729.85618183,976287.01795628
487.27,274356.8462083,276576.22435321,973542.66549927
487.26,274210.02044894,276422.27793997,970799.84866801
487.25,274062.92883173,276268.06973615,968058.46794085
487.24,273915.59687429,276113.62264509,965318.56176383
487.23,273768.03313754,275958.94285882,962580.14218671
487.22,273620.13963122,275803.93292013,959843.24844653
487.21,273470.4545547,275647.13121626,957107.79212075
487.2,271970.17036935,274139.75019072,954373.90773153
487.19,271692.98934718,273855.42949338,951655.81414728
487.18,271486.87758124,273642.12735687,948939.93859239
487.17,271283.64942209,273431.68034492,946226.07491488
487.16,271081.87453933,273222.66386726,943514.2156111
487.15,270881.47164086,273015.00188171,940804.38090357
487.14,270682.16900671,272808.42739099,938096.51455827
487.13,270484.25732871,272603.23160323,935390.72050384
487.12,270287.59769777,272399.27914495,932686.8915784
487.11,270091.92713216,272196.30917621,929985.04019511
487.1,269897.46938868,271994.5474446,927285.07149163
487.09,269704.08782739,271793.86027255,924587.10879774
487.08,269511.66807213,271594.13480994,921891.01762114
487.07,269320.3636805,271395.52561658,919196.88616148
487.06,269130.12130226,271197.97892553,916504.65728235
487.05,268940.72566558,271001.28405197,913814.3413072
487.04,268752.20744283,270805.47648697,911125.87046719
487.03,268564.66322282,270610.6544362,908439.30039113
487.02,268377.83261468,270416.55768395,905754.5954677
487.01,268190.54757348,270222.03144986,903071.7823627
487,267959.67151693,269983.97238979,900390.97667183
486.99,267141.52996506,269158.7153556,897718.60361862
486.98,266968.54587428,268978.6195704,895048.04594962
486.97,266796.09797929,268799.06936287,892379.22847556
486.96,266623.91563982,268619.79273287,889712.14752164
486.95,266452.12722469,268440.91861772,887046.77323278
486.94,266280.68099661,268262.39370108,884383.10755643
486.93,266109.5017975,268084.14181033,881721.17363653
486.92,265938.68802193,267906.25962306,879060.9179724
486.91,265768.13908227,267728.6467206,876402.38435789
486.9,265597.97833433,267551.42707815,873745.59532478
486.89,265428.13313262,267374.52941408,871090.49050974
486.88,265258.52265509,267197.87685151,868437.10212096
486.87,265089.22095663,267021.54821371,865785.38850857
486.86,264920.00249076,266845.32016096,863135.32918419
486.85,264750.87184913,266669.20578654,860487.01823167
486.84,264581.59786113,266492.97827078,857840.37834721
486.83,264412.00989617,266316.47401059,855195.45260612
486.82,264241.70353128,266139.29988467,852552.23013799
486.81,264069.05354993,265959.8415271,849910.73510227
486.8,263852.67314835,265736.73761011,847271.05216035
486.79,262374.69386008,264252.12341376,844646.05426421
486.78,262148.23567892,264019.04210674,842023.42216313
486.77,261923.03962274,263787.23868984,839403.05039804
486.76,261698.40773948,263556.01893164,836784.9919252
486.75,261474.39971709,263325.43939391,834169.10494153
486.74,261250.72651421,263095.21009722,831555.53507834
486.73,261027.75558207,262865.6960592,828944.16471142
486.72,260805.33920238,262636.74634643,826335.01553607
486.71,260583.38013622,262408.26290152,823728.09494998
486.7,260361.94112858,262180.30915548,821123.34717574
486.69,260141.15035702,261953.01327408,818520.85954459
486.68,259920.89981383,261726.26989277,815920.5435924
486.67,259701.1213317,261500.00792713,813322.45432863
486.66,259481.77877578,261274.19432149,810726.55816901
486.65,259262.7266873,261048.69063974,808132.85400056
486.64,259043.86479145,260823.40029475,805541.36556398
486.63,258824.94176292,260598.07665285,802952.11316337
486.62,258605.14912512,260371.91892741,800365.02059
486.61,258383.14172444,260143.59370114,797780.1086937
486.6,257143.57241111,258897.77723562,795197.49619098
486.59,256890.80062493,258638.84192944,792627.42075466
486.58,256668.16558399,258410.05468558,790059.6211747
486.57,256446.88898611,258182.63825664,787494.06257898
486.56,256226.57670875,257956.1933853,784930.6946329
486.55,256007.28574127,257730.77281117,782369.53307277
486.54,255789.11719549,257506.47562992,779810.53495014
486.53,255572.0505881,257283.28242511,777253.74847727
486.52,255356.20106314,257061.30845589,774699.10024704
486.51,255141.49917526,256840.48358113,772146.61234245
486.5,254927.89931057,256620.76246091,769596.26982695
486.49,254715.33132144,256402.07644155,767048.05273555
486.48,254503.81648084,256184.44878562,764501.99466279
486.47,254293.36072178,255967.88901677,761958.04983037
486.46,254083.89984526,255752.33245257,759416.22289924
486.45,253875.30607794,255537.65311643,756876.40803926
486.44,253667.80679833,255324.07704184,754338.72138608
486.43,253461.40748363,255111.60758916,751803.10298266
486.42,253256.2822057,254900.41312821,749269.49309992
486.41,253051.51174179,254689.5708933,746737.95237669
486.4,252827.09202117,254459.08704069,744208.4781842
486.39,252530.35642317,254156.25543579,741682.015123
486.38,252333.61923853,253953.35073681,739157.69790213
486.37,252139.87856852,253753.38520051,736635.34469422
486.36,251947.69559415,253554.93369529,734114.89858209
486.35,251757.33257043,253358.26922354,731596.37028966
486.34,251568.381028,253162.99496148,729079.7231875
486.33,251380.55882401,252968.83894661,726564.98341264
486.32,251193.76176896,252775.69869296,724052.16407548
486.31,251007.95847077,252583.54556156,721541.1357541
486.3,250823.11440231,252392.3468178,719032.01745246
486.29,250639.20964593,252202.08718063,716524.68904809
486.28,250456.15052086,252012.67435333,714019.23185002
486.27,250273.93828402,251824.10929,711515.55095127
486.26,250092.52671711,251636.3477362,709013.72221981
486.25,249911.87483621,251449.35299448,706513.69908472
486.24,249731.987259,251263.13073099,704015.45686077
486.23,249552.75311061,251077.57012758,701519.08181645
486.22,249373.92572073,250892.42586134,699024.47091898
486.21,249194.37352782,250706.56963814,696531.65373681
486.2,248819.33457642,250325.25517581,694040.59809925
486.19,248626.09527105,250125.75439573,691553.38387693
486.18,248451.48401625,249944.83655521,689067.9878127
486.17,248278.22638819,249765.24324881,686584.3699587
486.16,248105.20137643,249585.86346816,684102.43294893
486.15,247931.83463756,249406.12781078,681622.26330575
486.14,247757.93148072,249225.84405557,679143.79528638
486.13,247583.51459635,249045.042503,676667.12680619
486.12,247408.424974,248863.57075908,674192.14268106
486.11,247232.65178323,248681.42288355,671718.95050241
486.1,247056.15062226,248498.55563368,669247.52662458
486.09,246878.9146818,248314.96131873,666777.84369172
486.08,246700.92683454,248130.62571204,664309.98266506
